manifest_id,path,expected_sha256,available,observed_sha256,status
import_alignment,artifacts/12_manifests/import_alignment_artifacts.csv,f76d876fbce63068f38976c189c590618da730531abaeb6ab74093758f9bb350,TRUE,f76d876fbce63068f38976c189c590618da730531abaeb6ab74093758f9bb350,PASS
coverage,artifacts/12_manifests/coverage_artifacts.csv,0281118bfd0975181f6cf5fe39237f49271fa309c6de2d42d261b48450a5ba8d,TRUE,0281118bfd0975181f6cf5fe39237f49271fa309c6de2d42d261b48450a5ba8d,PASS
reference_profiles,artifacts/12_manifests/reference_profile_artifacts.csv,5e08099602682a4b951b0304764f341932ef2f03ccd4c62f32793ea82084e062,TRUE,5e08099602682a4b951b0304764f341932ef2f03ccd4c62f32793ea82084e062,PASS
state_intervals,artifacts/12_manifests/state_interval_artifacts.csv,216392d001ac92a3f7313200bae0354b21315a70d7017309d022fb4d1fc6903a,TRUE,216392d001ac92a3f7313200bae0354b21315a70d7017309d022fb4d1fc6903a,PASS
state_support_gate,artifacts/12_manifests/state_support_gate_artifacts.csv,755508076e42ed74ce0d40f48de192b69ea81b04532db2d5a950c451236e2619,TRUE,755508076e42ed74ce0d40f48de192b69ea81b04532db2d5a950c451236e2619,PASS
mder_support_gate,artifacts/12_manifests/mder_support_gate_artifacts.csv,9ca9b97dac5efd9ec4e7b43a1fb2227b7a13cf98ac4b92318606c4874f9e460b,TRUE,9ca9b97dac5efd9ec4e7b43a1fb2227b7a13cf98ac4b92318606c4874f9e460b,PASS
metric_artifacts,artifacts/12_manifests/metric_artifacts.csv,028bce108339c1277df4a070597430ea20b49c34c2888f4eef42741c1fe76a5e,TRUE,028bce108339c1277df4a070597430ea20b49c34c2888f4eef42741c1fe76a5e,PASS
base_model_data,artifacts/12_manifests/base_model_data_artifacts.csv,8344bdc0339a53079bf9eeb7d86de1ad7c15373641c3a0a5a01d040b418895ce,TRUE,8344bdc0339a53079bf9eeb7d86de1ad7c15373641c3a0a5a01d040b418895ce,PASS
normalized_inputs,artifacts/12_manifests/model_input_normalization.csv,e3d484711abb54f69d63ff302e5a0329efda3fd0a8c85feaf9cc4f850005c9ab,TRUE,e3d484711abb54f69d63ff302e5a0329efda3fd0a8c85feaf9cc4f850005c9ab,PASS
site_solar_context,artifacts/12_manifests/site_solar_context_artifacts.csv,c0c6d7f97782c0d880a213050f576213f5d56b3204a02732f6399e7e4aeb8518,TRUE,c0c6d7f97782c0d880a213050f576213f5d56b3204a02732f6399e7e4aeb8518,PASS
preanalysis_comparison,artifacts/12_manifests/preanalysis_comparison_artifacts.csv,f3c4bfbf120d2023c045b44e3c7c04c58bce1f8d11621956bca1e5ede90c5623,TRUE,f3c4bfbf120d2023c045b44e3c7c04c58bce1f8d11621956bca1e5ede90c5623,PASS
prepared_day_showcase,artifacts/12_manifests/prepared_day_showcase_artifacts.csv,c5ca66b2a6ec4fabbe57d08135db7f365bcd123365caab6c987bcb2b62f7a322,TRUE,c5ca66b2a6ec4fabbe57d08135db7f365bcd123365caab6c987bcb2b62f7a322,PASS
manuscript_prepared_data,artifacts/12_manifests/manuscript_prepared_data_artifacts.csv,4ed62fbe58de65a6d05d8cfc6b5d870d7c74a3c83fe89bcd72bd1dd838698935,TRUE,4ed62fbe58de65a6d05d8cfc6b5d870d7c74a3c83fe89bcd72bd1dd838698935,PASS
