site,Id,position,profile_variant,measurement_construct,interdaily_stability,intradaily_variability,valid_minutes,expected_minutes,valid_hours,is_wall_hours,is_folded_hours,is_clock_hours,adjacent_pairs,adjacent_pair_days,days,is_estimable,iv_estimable,estimable,is_failure_reason,iv_failure_reason
BAUA,BAUA_S001,chest,pooled,hybrid_chest_level_wake_and_bedside_sleep_environment,0.20697931043266043,1.0000086023207484,8208,8640,138,138,0,24,134,6,6,TRUE,TRUE,TRUE,,
BAUA,BAUA_S002,chest,pooled,hybrid_chest_level_wake_and_bedside_sleep_environment,0.31886427829033537,1.2868450443940531,8341,8640,141,141,0,24,138,6,6,TRUE,TRUE,TRUE,,
BAUA,BAUA_S003,chest,pooled,hybrid_chest_level_wake_and_bedside_sleep_environment,0.27013783898889115,1.1677474793011495,8600,8640,144,144,0,24,143,6,6,TRUE,TRUE,TRUE,,
BAUA,BAUA_S004,chest,pooled,hybrid_chest_level_wake_and_bedside_sleep_environment,0.20215528352094742,1.4432479109005851,7994,8640,135,135,0,24,128,6,6,TRUE,TRUE,TRUE,,
BAUA,BAUA_S005,chest,pooled,hybrid_chest_level_wake_and_bedside_sleep_environment,0.18572492532371768,1.0527617909349059,6777,7200,114,114,0,24,107,5,5,TRUE,TRUE,TRUE,,
BAUA,BAUA_S006,chest,pooled,hybrid_chest_level_wake_and_bedside_sleep_environment,0.25880389449126007,0.7424435484451996,7106,7200,119,119,0,24,116,5,5,TRUE,TRUE,TRUE,,
BAUA,BAUA_S008,chest,pooled,hybrid_chest_level_wake_and_bedside_sleep_environment,0.2535101552634157,1.770587884053375,8640,8640,144,144,0,24,143,6,6,TRUE,TRUE,TRUE,,
BAUA,BAUA_S009,chest,pooled,hybrid_chest_level_wake_and_bedside_sleep_environment,0.3511536202802527,0.7559298832941914,8393,8640,140,140,0,24,137,6,6,TRUE,TRUE,TRUE,,
BAUA,BAUA_S010,chest,pooled,hybrid_chest_level_wake_and_bedside_sleep_environment,,,2783,2880,47,47,0,23,45,2,2,FALSE,FALSE,FALSE,insufficient_days,insufficient_days
BAUA,BAUA_S012,chest,pooled,hybrid_chest_level_wake_and_bedside_sleep_environment,0.22765915926856184,1.7890587465791312,7841,8640,131,131,0,24,124,6,6,TRUE,TRUE,TRUE,,
