site,Id,position,local_date,clock_minute,expected_wall_minutes,wall_minutes_existing,source_real_minutes,source_observed_real_minutes,dst_fold_wall_minutes,valid_medi_wall_minutes,valid_light_wall_minutes,diary_state_composition,diary_state_categories,missing_diary_state_wall_minutes,measurement_context_composition,measurement_context_categories,arithmetic_mean_medi_lx,zero_aware_geometric_mean_medi_lx,ordinary_support,bin_admissible,failure_reason,spans_diary_state_boundary,spans_measurement_context_boundary,metric_value_lx,metric,zero_offset,clock_hour
BAUA,BAUA_S001,chest,2025-06-11,0,60,60,60,60,0,60,60,sleep,1,0,bedside_sleep_environment,1,0,0,1,TRUE,,FALSE,FALSE,0,one_hour_zero_aware_geometric_mean_medi,0.1,0
BAUA,BAUA_S001,chest,2025-06-11,60,60,60,60,60,0,60,60,sleep,1,0,bedside_sleep_environment,1,0,0,1,TRUE,,FALSE,FALSE,0,one_hour_zero_aware_geometric_mean_medi,0.1,1
BAUA,BAUA_S001,chest,2025-06-11,120,60,60,60,60,0,60,60,sleep,1,0,bedside_sleep_environment,1,0,0,1,TRUE,,FALSE,FALSE,0,one_hour_zero_aware_geometric_mean_medi,0.1,2
BAUA,BAUA_S001,chest,2025-06-11,180,60,60,60,60,0,60,60,sleep,1,0,bedside_sleep_environment,1,0,0,1,TRUE,,FALSE,FALSE,0,one_hour_zero_aware_geometric_mean_medi,0.1,3
BAUA,BAUA_S001,chest,2025-06-11,240,60,60,60,60,0,60,60,sleep,1,0,bedside_sleep_environment,1,0,0,1,TRUE,,FALSE,FALSE,0,one_hour_zero_aware_geometric_mean_medi,0.1,4
BAUA,BAUA_S001,chest,2025-06-11,300,60,60,60,60,0,60,60,sleep,1,0,bedside_sleep_environment,1,0,0,1,TRUE,,FALSE,FALSE,0,one_hour_zero_aware_geometric_mean_medi,0.1,5
BAUA,BAUA_S001,chest,2025-06-11,360,60,60,60,60,0,60,60,sleep|wake,2,0,bedside_sleep_environment|worn_chest,2,52.04380555555556,27.28498351755435,1,TRUE,,TRUE,TRUE,27.28498351755435,one_hour_zero_aware_geometric_mean_medi,0.1,6
BAUA,BAUA_S001,chest,2025-06-11,420,60,60,60,60,0,58,58,wake,1,0,invalid_nonwear|worn_chest,2,357.798275862069,41.21609302378432,0.9666666666666667,TRUE,,FALSE,TRUE,41.21609302378432,one_hour_zero_aware_geometric_mean_medi,0.1,7
BAUA,BAUA_S001,chest,2025-06-11,480,60,60,60,60,0,60,60,wake,1,0,worn_chest,1,372.9755277777778,219.8949416937056,1,TRUE,,FALSE,FALSE,219.8949416937056,one_hour_zero_aware_geometric_mean_medi,0.1,8
BAUA,BAUA_S001,chest,2025-06-11,540,60,60,60,60,0,60,60,wake,1,0,worn_chest,1,167.58966666666666,165.76582775708152,1,TRUE,,FALSE,FALSE,165.76582775708152,one_hour_zero_aware_geometric_mean_medi,0.1,9
