relative_path,head_status,get_status,mime_type,bytes,sha256,exact
ZaunerEtAl2026_NatHealth_phase3_brown.docx,200,200,application/vnd.openxmlformats-officedocument.wordprocessingml.document,14372157,325c3a8e3a76ea225970f80e177ceed0bbdd592b72e79196d154597f3581250b,True
editable_tables/Table_1.docx,200,200,application/vnd.openxmlformats-officedocument.wordprocessingml.document,60255,5d09fe9d798c78295d5e8f783e0d73aaee81e1331f0527aa8e860f3bc2d70049,True
editable_tables/Table_2.docx,200,200,application/vnd.openxmlformats-officedocument.wordprocessingml.document,57761,75704e889145ad648f2532b3b539562c8ae840ee62f0ce864206120531b6e44f,True
editable_tables/Table_3.docx,200,200,application/vnd.openxmlformats-officedocument.wordprocessingml.document,1382422,54a31ca2ebfc7c6030971312bd3aafb43f53f792e0de84aa514bdd53cab82bd3,True
editable_tables/Table_S1.docx,200,200,application/vnd.openxmlformats-officedocument.wordprocessingml.document,56935,9ece9a78981962ffb5a2e067e3937582484babe27d7afb050e953413de5ed24f,True
editable_tables/Table_S2.docx,200,200,application/vnd.openxmlformats-officedocument.wordprocessingml.document,1386939,0c834387ff6462b737381d028f0482636c5e55ad0443234f1cb8c165dda75334,True
editable_tables/Table_S3.docx,200,200,application/vnd.openxmlformats-officedocument.wordprocessingml.document,59127,29d32faf828a660ff8179f95de219aef2d69a23c1a33870a20f19dfa6cb99e5d,True
editable_tables/Table_S4.docx,200,200,application/vnd.openxmlformats-officedocument.wordprocessingml.document,57161,449372acfb60acba928d40240792575a20be572622fcdb8bac7ae619dac38f5e,True
editable_tables/Table_S5.docx,200,200,application/vnd.openxmlformats-officedocument.wordprocessingml.document,57179,2c572a23620b5c6851275901842f814db5768139ef3bdf509dd35f91dc858aa0,True
editable_tables/Table_S6.docx,200,200,application/vnd.openxmlformats-officedocument.wordprocessingml.document,57155,2be5f95d9d762072e22ea6c629865b733a262d8ab8e7b11e81904ae9f7106dce,True
editable_tables/Table_S7.docx,200,200,application/vnd.openxmlformats-officedocument.wordprocessingml.document,58866,9ec20d78bffd51bc6e27fe08e255cb6450a04e732e2d8da830d3d6cb4c4fe96a,True
editable_tables/Table_S8.docx,200,200,application/vnd.openxmlformats-officedocument.wordprocessingml.document,57363,1c00fca20c863747c2ca6f3905277475a38be90f5c908233df038f9d20034372,True
editable_tables/Table_S9.docx,200,200,application/vnd.openxmlformats-officedocument.wordprocessingml.document,56653,1c6ce0a02661d80199f5e0fd9795827dfe4ad249f5918e0b53391ab1bb5027e3,True
editable_tables/Table_S10.docx,200,200,application/vnd.openxmlformats-officedocument.wordprocessingml.document,57964,fcd5d7eaf77bba2b4e4bcdfc82a01dd914de2c828a1579849d62e413418b0726,True
editable_tables/Table_S11a.docx,200,200,application/vnd.openxmlformats-officedocument.wordprocessingml.document,57471,241ed7f67b4d6ae4c093ca6f3ac86f7e8977a2181fbcb24ae7304ccb6b2bd165,True
editable_tables/Table_S11b.docx,200,200,application/vnd.openxmlformats-officedocument.wordprocessingml.document,57155,c73e527237637cf3014a509a924a66ecf76eab3f80054f679b051edf013590c5,True
editable_tables/Table_S12.docx,200,200,application/vnd.openxmlformats-officedocument.wordprocessingml.document,57088,c45851bcf66a334c058725ce91e04b3b24562436c0207ba290e3bcb566e176a3,True
editable_tables/Table_S13.docx,200,200,application/vnd.openxmlformats-officedocument.wordprocessingml.document,57086,504735337df61c5538c0017401eea9a6676c477d4b728a6fb329f56783794a5f,True
editable_tables/Table_S14.docx,200,200,application/vnd.openxmlformats-officedocument.wordprocessingml.document,57219,65b3e8ab6a75a4bae9e43c22361631466a4fc9bb16761d0b7d529c59fd7f1a8c,True
editable_tables/Table_S15.docx,200,200,application/vnd.openxmlformats-officedocument.wordprocessingml.document,56739,9666c69401331ffdddc8b1c1e2b97324151a23f568d83a0a6f6e46c2aaf8e12b,True
manuscript_changes.csv,200,200,text/csv,39396,abaa25cc7f25ecfc8a54895d6e375030ed08dbbd63fac8b7eccf68bd23b298d8,True
manuscript_changes.md,200,200,text/markdown,38124,341a8d7a92843c5d8188a433a628bc943eeae7572c54af248f5ce8559e58ff24,True
